ICF,Real Estate,8
URE,Real Estate,8
PSR,Real Estate,8
TDV,Technology,7
XLK,Technology,7
IYW,Technology,7
VGT,Technology,7
QTEC,Technology,7
IGM,Technology,7
IXN,Technology,7
PTF,Technology,7
RYT,Technology,7
FXL,Technology,7
ROM,Technology,7
FXU,Utilities,6
PUI,Utilities,6
RYU,Utilities,6
VPU,Utilities,6
XLU,Utilities,6
IDU,Utilities,6
JXI,Utilities,6
UPW,Utilities,6
DRN,Real Estate,8
DRV,Real Estate,8
CHIQ,Consumer Discretionary,3
CHII,Industrials,1
CQQQ,Technology,7
CHIX,Financials,4
CHIE,Energy,11
CHIM,Materials,2
EUFN,Financials,4
REK,Real Estate,8
SBM,Materials,2
VQT,Financials,4
ECON,Consumer Staples,10
VNQI,Real Estate,8
ERUS,Energy,11
KBWY,Real Estate,8
KBWD,Financials,4
SCHH,Real Estate,8
XTL,Telecom,9
PSCD,Consumer Discretionary,3
PSCC,Consumer Staples,10
PSCE,Energy,11
PSCF,Financials,4
PSCH,Healthcare,5
PSCI,Industrials,1
PSCT,Technology,7
PSCM,Materials,2
PSCU,Utilities,6
QQQ,Technology,7
ROOF,Real Estate,8
CURE,Healthcare,5
INCO,Consumer Discretionary,3
TECL,Technology,7
TECS,Technology,7
FINU,Financials,4
FINZ,Financials,4
TDIV,Technology,7
PHDG,Financials,4
ISRA,Technology,7
EMCG,Consumer Staples,10
FUTY,Utilities,6
FCOM,Telecom,9
FMAT,Materials,2
FTEC,Technology,7
FIDU,Industrials,1
HLC,Healthcare,5
FNCL,Financials,4
FSTA,Consumer Staples,10
FDIS,Consumer Discretionary,3
GQRE,Real Estate,8
ROBO,Technology,7
AIRR,Industrials,1
LMLP,Financials,4
REET,Real Estate,8
WBIF,Telecom,9
WBIL,Consumer Staples,10
ARKW,Technology,7
ARKK,Technology,7
FREL,Real Estate,8
SRET,Real Estate,8
LRET,Real Estate,8
XT,Technology,7
IPAY,Technology,7
IEUS,Technology,7
EWRE,Real Estate,8
TPYP,Energy,11
UTES,Utilities,6
JHMC,Consumer Discretionary,3
JHMF,Financials,4
JHMH,Healthcare,5
HMT,Technology,7
XLRE,Real Estate,8
ITEQ,Technology,7
XITK,Technology,7
JHMS,Consumer Staples,10
JHMI,Industrials,1
JHMA,Materials,2
JHMU,Utilities,6
RFEU,Industrials,1
BFIT,Consumer Discretionary,3
LNGR,Healthcare,5
OLD,Real Estate,8
SLIM,Healthcare,5
XTH,Technology,7
PRNT,Technology,7
EUFL,Financials,4
FINX,Technology,7
RORE,Real Estate,8
USRT,Real Estate,8
NURE,Real Estate,8
DFNL,Financials,4
PAVE,Industrials,1
DUSL,Industrials,1
UTSL,Utilities,6
XNTK,Technology,7
MQ,Technology,7
CLIX,Consumer Staples,10
EMTY,Consumer Staples,10
IZRL,Technology,7
ACT,Consumer Staples,10
BLOK,Technology,7
BLCN,Technology,7
LEGR,Technology,7
KOIN,Technology,7
IECS,Consumer Staples,10
IEDI,Consumer Discretionary,3
IEFN,Financials,4
IEHS,Healthcare,5
IETC,Technology,7
PPTY,Real Estate,8
AIQ,Technology,7
SRVR,Real Estate,8
BATT,Materials,2
BBRE,Real Estate,8
IRBO,Technology,7
LOUP,Technology,7
QTUM,Technology,7
KMED,Healthcare,5
EBIZ,Consumer Discretionary,3
LACK,Consumer Staples,10
NEED,Consumer Staples,10
PASS,Consumer Discretionary,3
WANT,Consumer Discretionary,3
CHIK,Technology,7
CHIR,Real Estate,8
CHIS,Consumer Staples,10
CHIU,Utilities,6
TAWK,Telecom,9
TCLD,Technology,7
TPAY,Technology,7
VPC,Financials,4
VRAI,Real Estate,8
HAUZ,Real Estate,8
FIVG,Technology,7
GDAT,Technology,7
GDNA,Healthcare,5
HOMZ,Real Estate,8
NETL,Real Estate,8
BNKD,Financials,4
BNKO,Financials,4
BNKU,Financials,4
BNKZ,Financials,4
KNAB,Financials,4
YOLO,Healthcare,5
LEND,Financials,4
ZIG,Financials,4
NXTG,Telecom,9
ROKT,Industrials,1
HTEC,Healthcare,5
CNBS,Healthcare,5
ECLN,Utilities,6
IAI,Financials,4
BDCS,Financials,4
BDCL,Financials,4
BIZD,Financials,4
BDCZ,Financials,4
LBDC,Financials,4
KCE,Financials,4
QCLN,Energy,11
PBD,Energy,11
PBW,Energy,11
ICLN,Energy,11
GRID,Energy,11
ACES,Energy,11
CNRG,Energy,11
SMOG,Energy,11
PZD,Energy,11
SKYY,Technology,7
KOL,Energy,11
QABA,Financials,4
SZK,Consumer Staples,10
UGE,Consumer Staples,10
IYK,Consumer Staples,10
SCC,Consumer Discretionary,3
UCC,Consumer Discretionary,3
IYC,Consumer Discretionary,3
COPX,Materials,2
SIMS,Materials,2
ENFR,Energy,11
FLM,Materials,2
EVX,Industrials,1
SOIL,Materials,2
FAZ,Financials,4
IYG,Financials,4
FAS,Financials,4
FXG,Consumer Staples,10
PBJ,Consumer Staples,10
WBIE,Consumer Staples,10
ORG,Consumer Staples,10
FTXG,Consumer Staples,10
VMOT,Consumer Staples,10
BJK,Consumer Discretionary,3
ESPO,Consumer Discretionary,3
NERD,Consumer Discretionary,3
VIDG,Consumer Discretionary,3
GDX,Materials,2
GDXJ,Materials,2
NUGT,Materials,2
DUST,Materials,2
RING,Materials,2
JNUG,Materials,2
JDST,Materials,2
SGDM,Materials,2
SGDJ,Materials,2
GOEX,Materials,2
GOAU,Materials,2
HAP,Materials,2
IHF,Healthcare,5
XHS,Healthcare,5
PKB,Materials,2
XHB,Materials,2
ITB,Materials,2
HOML,Materials,2
NAIL,Materials,2
INDS,Real Estate,8
GII,Utilities,6
IGF,Utilities,6
EMIF,Utilities,6
NFRA,Utilities,6
TOLZ,Utilities,6
HII,Utilities,6
INFR,Utilities,6
IFRA,Utilities,6
GLIF,Utilities,6
KIE,Financials,4
IAK,Financials,4
KBWP,Financials,4
FDN,Technology,7
PNQI,Technology,7
KWEB,Technology,7
EMQQ,Technology,7
XWEB,Technology,7
SNSR,Technology,7
CWEB,Technology,7
OGIG,Technology,7
CIBR,Technology,7
IHAK,Technology,7
BUG,Technology,7
LIT,Materials,2
PBS,Consumer Discretionary,3
IEME,Consumer Discretionary,3
XLC,Consumer Discretionary,3
IHI,Healthcare,5
XHE,Healthcare,5
REMX,Materials,2
PICK,Materials,2
AMJ,Energy,11
MLPI,Energy,11
MLPG,Energy,11
AMLP,Energy,11
MLPY,Energy,11
YMLP,Energy,11
MLPA,Energy,11
EMLP,Energy,11
AMU,Energy,11
IMLP,Energy,11
ATMP,Energy,11
MLPX,Energy,11
MLPC,Energy,11
ZMLP,Energy,11
AMZA,Energy,11
MLPB,Energy,11
AMUB,Energy,11
MLPO,Energy,11
MLPQ,Energy,11
MLPZ,Energy,11
AMJL,Energy,11
MLPE,Energy,11
BMLP,Energy,11
PPLN,Energy,11
XLEY,Energy,11
XLUY,Energy,11
REM,Real Estate,8
MORT,Real Estate,8
MORL,Real Estate,8
MRRL,Real Estate,8
REML,Real Estate,8
FCG,Energy,11
GASL,Energy,11
GASX,Energy,11
IGE,Materials,2
GRES,Materials,2
GNR,Materials,2
GUNR,Materials,2
NANR,Materials,2
FTRI,Materials,2
BUYN,Materials,2
PXQ,Technology,7
IGN,Technology,7
NLR,Energy,11
DUG,Energy,11
DDG,Energy,11
ERY,Energy,11
IXC,Energy,11
IYE,Energy,11
XLE,Energy,11
VDE,Energy,11
XOP,Energy,11
IEO,Energy,11
PXE,Energy,11
RYE,Energy,11
PXI,Energy,11
FXN,Energy,11
DIG,Energy,11
ERX,Energy,11
GREK,Energy,11
FILL,Energy,11
FENY,Energy,11
GUSH,Energy,11
DRIP,Energy,11
CRAK,Energy,11
JHME,Energy,11
FTXN,Energy,11
USAI,Energy,11
PYPE,Energy,11
NRGD,Energy,11
NRGO,Energy,11
NRGU,Energy,11
NRGZ,Energy,11
YGRN,Energy,11
XES,Energy,11
OIH,Energy,11
IEZ,Energy,11
PXJ,Energy,11
IHE,Healthcare,5
XPH,Healthcare,5
PJP,Healthcare,5
PPH,Healthcare,5
CHNA,Healthcare,5
PILL,Healthcare,5
FTXH,Healthcare,5
KURE,Healthcare,5
CHIH,Healthcare,5
POTX,Healthcare,5
PSP,Financials,4
PEX,Financials,4
KRE,Financials,4
IAT,Financials,4
KBWR,Financials,4
DPST,Financials,4
WDRW,Financials,4
REZ,Real Estate,8
PMR,Consumer Discretionary,3
RTH,Consumer Discretionary,3
XRT,Consumer Discretionary,3
RETL,Consumer Discretionary,3
IBUY,Consumer Discretionary,3
FTXD,Consumer Discretionary,3
ONLN,Consumer Discretionary,3
XBUY,Consumer Discretionary,3
RTL,Real Estate,8
SSG,Technology,7
XSD,Technology,7
SMH,Technology,7
PSI,Technology,7
USD,Technology,7
SOXL,Technology,7
SOXS,Technology,7
SOXX,Technology,7
SCID,Technology,7
FTXL,Technology,7
SEA,Industrials,1
BDRY,Industrials,1
SIL,Materials,2
SLVP,Materials,2
SILJ,Materials,2
SOCL,Technology,7
PSJ,Technology,7
IGV,Technology,7
XSW,Technology,7
HACK,Technology,7
GAMR,Technology,7
CLOU,Technology,7
WCLD,Technology,7
TAN,Energy,11
SLX,Materials,2
CUT,Materials,2
WOOD,Materials,2
IYT,Industrials,1
XTN,Industrials,1
FTXR,Industrials,1
TPOR,Industrials,1
XLTY,Industrials,1
HAIL,Industrials,1
FRAK,Energy,11
URA,Materials,2
FIW,Industrials,1
PHO,Industrials,1
CGW,Industrials,1
PIO,Industrials,1
TBLU,Industrials,1
FAN,Energy,11
YLCO,Energy,11
